gender,keyword,tfidf_score
male,play,0.09629210367475144
male,lego,0.0892140138589948
male,science,0.083179151526276
male,math,0.07590122954170836
male,astronaut,0.07011411604281499
male,firefighter,0.06906737075390382
male,block,0.06334951756667116
male,game,0.05626255875202975
male,read,0.055793344948363605
male,scientist,0.05206868273088583
male,soccer,0.051839651508066215
male,mathematic,0.05073855157110919
male,reading,0.050539787761857025
male,nerf,0.05002526883933097
male,math science,0.04911394550210847
male,engineer,0.047880820934558824
male,english,0.04731117796016628
male,set,0.04729812044752712
male,play soccer,0.045728564650509285
male,build,0.044015779404949766
female,painting,0.10572628835669375
female,science,0.09318008396310741
female,read,0.08893944796306483
female,math,0.08136575840994995
female,play,0.06813120241402452
female,art,0.06745015077779606
female,reading,0.06071227221485885
female,mathematic,0.05989084633412232
female,art supply,0.05946744830130203
female,supply,0.05946744830130203
female,veterinarian,0.057776216536687415
female,artist,0.056679287093228864
female,english,0.056397129294299804
female,dancing,0.05514182034788022
female,scientist,0.05273709297522728
female,teacher,0.05169781909401914
female,doll,0.05136059282109812
female,set,0.049938848984511085
female,painting dancing,0.04687941120055464
female,mathematic science,0.04433833342062296
child,play,0.10362407857775592
child,science,0.07712664521085301
child,math,0.07590454603144144
child,lego,0.07389219601582334
child,read,0.07292249800519728
child,block,0.07269706890109756
child,draw,0.06549687623206184
child,astronaut,0.05931428822254616
child,scientist,0.05752357841699203
child,teacher,0.05578738164491934
child,game,0.052498587539953394
child,english,0.047553778225060434
child,mathematic,0.04714493091782993
child,set,0.04679236917677061
child,reading,0.04618934794046671
child,veterinarian,0.04412899219783065
child,artist,0.04386145037696868
child,write,0.042281199008689374
child,building,0.03952123585727532
child,painting,0.039305093411046675
